	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca
AMF-2020wet-89-S-OM	2020_wet	89-S-OM	89	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-67-N-OM	2020_wet	67-N-OM	67	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-87-S-OM	2020_dry	87-S-OM	87	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2019wet-61-N-OM	2019_wet	61-N-OM	61	N	OM	Quercus	Quercus_1	3.83	4.64	9.25	132.14	3.15	1.4314
AMF-2019wet-61-N-OS	2019_wet	61-N-OS	61	N	OS	Quercus	Quercus_1	3.84	8.26	6.97	323.6	14.89	8.95
AMF-2019wet-61-S-OM	2019_wet	61-S-OM	61	S	OM	Quercus	Quercus_1	4.11	4.56	6.9	93.1	0.97	0.3906
AMF-2019wet-61-S-OS	2019_wet	61-S-OS	61	S	OS	Quercus	Quercus_1	4.18	7.42	7.47	207.31	16.91	0.3834
AMF-2019wet-62-N-OM	2019_wet	62-N-OM	62	N	OM	Quercus	Quercus_1	3.89	6.25	7.28	139.95	10.59	0.1565
AMF-2019wet-62-N-OS	2019_wet	62-N-OS	62	N	OS	Quercus	Quercus_1	3.72	9.73	8.04	227.45	18.75	0.2863
AMF-2019wet-62-S-OM	2019_wet	62-S-OM	62	S	OM	Quercus	Quercus_1	3.76	5.36	7.28	175.35	8.09	0.0994
AMF-2019wet-62-S-OS	2019_wet	62-S-OS	62	S	OS	Quercus	Quercus_1	3.76	7.77	8.43	250.84	10.54	0.4062
AMF-2019wet-63-N-OM	2019_wet	63-N-OM	63	N	OM	Quercus	Quercus_1	3.88	6.49	7.74	138.41	9.1	1.1453
AMF-2019wet-63-N-OS	2019_wet	63-N-OS	63	N	OS	Quercus	Quercus_1	3.74	17.05	13.69	472.41	15.36	2.2253
AMF-2019wet-63-S-OM	2019_wet	63-S-OM	63	S	OM	Quercus	Quercus_1	3.95	2.82	9.16	92.35	10	0.6329
AMF-2019wet-63-S-OS	2019_wet	63-S-OS	63	S	OS	Quercus	Quercus_1	3.54	12.1	10.75	370.73	10.64	3.1463
AMF-2019wet-64-N-OM	2019_wet	64-N-OM	64	N	OM	Quercus	Quercus_1	3.6	6.96	8.13	157.59	10.1	0.9895
AMF-2019wet-64-N-OS	2019_wet	64-N-OS	64	N	OS	Quercus	Quercus_1	3.87	19.05	8.69	537.72	24.86	2.949
AMF-2019wet-64-S-OM	2019_wet	64-S-OM	64	S	OM	Quercus	Quercus_1	4.04	4.47	7.5	134.14	11.45	0.8612
AMF-2019wet-64-S-OS	2019_wet	64-S-OS	64	S	OS	Quercus	Quercus_1	4.15	18.73	10.67	503.72	13.86	10.0697
AMF-2019wet-65-N-OM	2019_wet	65-N-OM	65	N	OM	Quercus	Quercus_2	4.98	9.61	17.65	161.11	6.5	1.6326
AMF-2019wet-65-N-OS	2019_wet	65-N-OS	65	N	OS	Quercus	Quercus_2	3.74	14.37	13.53	253.22	8.34	3.8783
AMF-2019wet-65-W-OM	2019_wet	65-W-OM	65	W	OM	Quercus	Quercus_2	4.38	11.07	1.23	243.23	8.46	0.5174
AMF-2019wet-65-W-OS	2019_wet	65-W-OS	65	W	OS	Quercus	Quercus_2	4.35	10.07	13.21	309.05	15.08	1.0562
AMF-2019wet-66-N-OM	2019_wet	66-N-OM	66	N	OM	Quercus	Quercus_2	4.71	6.38	13.13	197.26	9.16	1.45
AMF-2019wet-66-N-OS	2019_wet	66-N-OS	66	N	OS	Quercus	Quercus_2	4	10.96	14.72	286.29	9.01	0.5509
AMF-2019wet-66-S-OM	2019_wet	66-S-OM	66	S	OM	Quercus	Quercus_2	3.8	6.62	11.94	173	8.87	0.4955
AMF-2019wet-66-S-OS	2019_wet	66-S-OS	66	S	OS	Quercus	Quercus_2	4.01	13.43	10.99	416	19.87	2.212
AMF-2019wet-67-N-OM	2019_wet	67-N-OM	67	N	OM	Quercus	Quercus_2	4.13	4.25	8.69	97.95	1.44	0.079
AMF-2019wet-67-N-OS	2019_wet	67-N-OS	67	N	OS	Quercus	Quercus_2	3.79	13.89	12.73	370.81	8.02	2.2385
AMF-2019wet-67-S-OM	2019_wet	67-S-OM	67	S	OM	Quercus	Quercus_2	4.47	4.91	10.2	130.03	1.67	0.2625
AMF-2019wet-67-S-OS	2019_wet	67-S-OS	67	S	OS	Quercus	Quercus_2	4.48	14.66	13.61	331.28	17.55	1.9022
AMF-2019wet-68-N-OM	2019_wet	68-N-OM	68	N	OM	Quercus	Quercus_2	3.64	5.94	12.81	180.1	16.77	0.1336
AMF-2019wet-68-N-OS	2019_wet	68-N-OS	68	N	OS	Quercus	Quercus_2	3.66	6.86	12.89	529.67	2.37	7.5758
AMF-2019wet-68-S-OM	2019_wet	68-S-OM	68	S	OM	Quercus	Quercus_2	3.98	6.16	10.51	165.67	9.68	0.6272
AMF-2019wet-68-S-OS	2019_wet	68-S-OS	68	S	OS	Quercus	Quercus_2	4.42	19.19	14	607.32	15.08	1.8144
AMF-2019wet-69-N-OM	2019_wet	69-N-OM	69	N	OM	Quercus	Quercus_3	3.94	6.23	14.16	152.99	11.18	0.2432
AMF-2019wet-69-N-OS	2019_wet	69-N-OS	69	N	OS	Quercus	Quercus_3	4.01	3.94	14.8	309.82	14.44	3.0415
AMF-2019wet-69-S-OM	2019_wet	69-S-OM	69	S	OM	Quercus	Quercus_3	4.69	5.82	11.54	115.3	11.77	0.4266
AMF-2019wet-69-S-OS	2019_wet	69-S-OS	69	S	OS	Quercus	Quercus_3	4.54	9.71	14.24	247.18	8.31	5.8257
AMF-2019wet-70-N-OM	2019_wet	70-N-OM	70	N	OM	Quercus	Quercus_3	4.07	5.68	8.53	171.1	14.94	1.5856
AMF-2019wet-70-N-OS	2019_wet	70-N-OS	70	N	OS	Quercus	Quercus_3	3.94	10.94	8.61	344	14.96	10.5444
AMF-2019wet-70-S-OM	2019_wet	70-S-OM	70	S	OM	Quercus	Quercus_3	4.57	8.42	9.01	186.1	16.6	16.9572
AMF-2019wet-70-S-OS	2019_wet	70-S-OS	70	S	OS	Quercus	Quercus_3	3.87	15.77	10.83	447.7	32.84	3.7539
AMF-2019wet-71-N-OM	2019_wet	71-N-OM	71	N	OM	Quercus	Quercus_3	3.93	4.75	9.8	138	5.91	0.2626
AMF-2019wet-71-N-OS	2019_wet	71-N-OS	71	N	OS	Quercus	Quercus_3	4.26	18.14	12.1	506.52	33.86	34.8388
AMF-2019wet-71-S-OM	2019_wet	71-S-OM	71	S	OM	Quercus	Quercus_3	3.84	4.1	11.26	128.83	0.87	0.3379
AMF-2019wet-71-S-OS	2019_wet	71-S-OS	71	S	OS	Quercus	Quercus_3	3.87	20.6	10.99	594.49	7.74	1.1932
AMF-2019wet-72-N-OM	2019_wet	72-N-OM	72	N	OM	Quercus	Quercus_3	3.54	5.09	12.85	168.77	11.45	0.7339
AMF-2019wet-72-N-OS	2019_wet	72-N-OS	72	N	OS	Quercus	Quercus_3	3.58	16.37	12.02	467.98	3.64	0.3147
AMF-2019wet-72-S-OM	2019_wet	72-S-OM	72	S	OM	Quercus	Quercus_3	3.64	5.75	10.67	164.86	17.35	0.3459
AMF-2019wet-72-S-OS	2019_wet	72-S-OS	72	S	OS	Quercus	Quercus_3	3.64	18.98	11.07	546.2	34.95	0.645
AMF-2019wet-73-E-OM	2019_wet	73-E-OM	73	E	OM	Picea	Picea_1	4.54	4.4	13.45	115.37	8.52	1.0703
AMF-2019wet-73-E-OS	2019_wet	73-E-OS	73	E	OS	Picea	Picea_1	4.25	9.54	14.64	248.64	22.28	2.4543
AMF-2019wet-73-W-OM	2019_wet	73-W-OM	73	W	OM	Picea	Picea_1	4.84	3.77	11.31	83.55	5.01	1.4333
AMF-2019wet-73-W-OS	2019_wet	73-W-OS	73	W	OS	Picea	Picea_1	4.65	7.36	15.51	163.9	13.21	2.4872
AMF-2019wet-74-N-OM	2019_wet	74-N-OM	74	N	OM	Picea	Picea_1	4.24	4.97	10.91	108.63	4.41	2.0195
AMF-2019wet-74-N-OS	2019_wet	74-N-OS	74	N	OS	Picea	Picea_1	4.16	17.5	13.05	617.66	21.54	3.1017
AMF-2019wet-74-S-OM	2019_wet	74-S-OM	74	S	OM	Picea	Picea_1	5.14	4.93	9.08	111.5	8.98	0.639
