	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca	DBH	Corg	ratioCorg_N
ITS2-2019wet-66-N-OS	2019_wet	66-N-OS	66	N	OS	Quercus	Quercus_2	4	10.96	14.72	286.29	9.01	0.5509	409	166.447674418605	15.1868316075369
ITS2-2019wet-63-S-OS	2019_wet	63-S-OS	63	S	OS	Quercus	Quercus_1	3.54	12.1	10.75	370.73	10.64	3.1463	182	215.540697674419	17.8132807995387
ITS2-2019wet-72-N-OM	2019_wet	72-N-OM	72	N	OM	Quercus	Quercus_3	3.54	5.09	12.85	168.77	11.45	0.7339	545	98.1220930232558	19.277424955453
ITS2-2019wet-72-N-OS	2019_wet	72-N-OS	72	N	OS	Quercus	Quercus_3	3.58	16.37	12.02	467.98	3.64	0.3147	545	272.081395348837	16.6207327641318
ITS2-2019wet-64-N-OM	2019_wet	64-N-OM	64	N	OM	Quercus	Quercus_1	3.6	6.96	8.13	157.59	10.1	0.9895	225	91.6220930232558	13.1640938251804
ITS2-2019wet-68-N-OM	2019_wet	68-N-OM	68	N	OM	Quercus	Quercus_2	3.64	5.94	12.81	180.1	16.77	0.1336	330	104.709302325581	17.6278286743403
ITS2-2019wet-72-S-OM	2019_wet	72-S-OM	72	S	OM	Quercus	Quercus_3	3.64	5.75	10.67	164.86	17.35	0.3459	545	95.8488372093023	16.6693629929221
ITS2-2019wet-72-S-OS	2019_wet	72-S-OS	72	S	OS	Quercus	Quercus_3	3.64	18.98	11.07	546.2	34.95	0.645	545	317.558139534884	16.731198078761
ITS2-2019wet-68-N-OS	2019_wet	68-N-OS	68	N	OS	Quercus	Quercus_2	3.66	6.86	12.89	529.67	2.37	7.5758	330	307.947674418605	44.8903315479015
ITS2-2019wet-86-N-OM	2019_wet	86-N-OM	86	N	OM	Abies	Abies_1	3.7	6.54	14.72	149.1	10.85	0.4482	120	86.6860465116279	13.2547471730318
ITS2-2019wet-62-N-OS	2019_wet	62-N-OS	62	N	OS	Quercus	Quercus_1	3.72	9.73	8.04	227.45	18.75	0.2863	178	132.238372093023	13.5907884987691
ITS2-2019wet-63-N-OS	2019_wet	63-N-OS	63	N	OS	Quercus	Quercus_1	3.74	17.05	13.69	472.41	15.36	2.2253	182	274.656976744186	16.1089135920344
ITS2-2019wet-65-N-OS	2019_wet	65-N-OS	65	N	OS	Quercus	Quercus_2	3.74	14.37	13.53	253.22	8.34	3.8783	209	147.220930232558	10.2450195012219
ITS2-2019wet-62-S-OM	2019_wet	62-S-OM	62	S	OM	Quercus	Quercus_1	3.76	5.36	7.28	175.35	8.09	0.0994	178	101.947674418605	19.0200885109337
ITS2-2019wet-67-N-OS	2019_wet	67-N-OS	67	N	OS	Quercus	Quercus_2	3.79	13.89	12.73	370.81	8.02	2.2385	340	215.587209302326	15.5210373867765
ITS2-2019wet-66-S-OM	2019_wet	66-S-OM	66	S	OM	Quercus	Quercus_2	3.8	6.62	11.94	173	8.87	0.4955	409	100.581395348837	15.1935642520902
ITS2-2019wet-61-N-OM	2019_wet	61-N-OM	61	N	OM	Quercus	Quercus_1	3.83	4.64	9.25	132.14	3.15	1.4314	155	76.8255813953488	16.5572373696873
ITS2-2019wet-61-N-OS	2019_wet	61-N-OS	61	N	OS	Quercus	Quercus_1	3.84	8.26	6.97	323.6	14.89	8.95	155	188.139534883721	22.7771833999662
ITS2-2019wet-71-S-OM	2019_wet	71-S-OM	71	S	OM	Quercus	Quercus_3	3.84	4.1	11.26	128.83	0.87	0.3379	420	74.9011627906977	18.2685762904141
ITS2-2019wet-86-N-OS	2019_wet	86-N-OS	86	N	OS	Abies	Abies_1	3.85	11.2	13.77	281.1	20.72	4.045	120	163.43023255814	14.5919850498339
ITS2-2019wet-64-N-OS	2019_wet	64-N-OS	64	N	OS	Quercus	Quercus_1	3.87	19.05	8.69	537.72	24.86	2.949	225	312.627906976744	16.4109137520601
ITS2-2019wet-70-S-OS	2019_wet	70-S-OS	70	S	OS	Quercus	Quercus_3	3.87	15.77	10.83	447.7	32.84	3.7539	278	260.290697674419	16.5054342215865
ITS2-2019wet-71-S-OS	2019_wet	71-S-OS	71	S	OS	Quercus	Quercus_3	3.87	20.6	10.99	594.49	7.74	1.1932	420	345.633720930233	16.778335967487
ITS2-2019wet-63-N-OM	2019_wet	63-N-OM	63	N	OM	Quercus	Quercus_1	3.88	6.49	7.74	138.41	9.1	1.1453	182	80.4709302325581	12.3992188339843
ITS2-2019wet-62-N-OM	2019_wet	62-N-OM	62	N	OM	Quercus	Quercus_1	3.89	6.25	7.28	139.95	10.59	0.1565	178	81.3662790697674	13.0186046511628
ITS2-2019wet-71-N-OM	2019_wet	71-N-OM	71	N	OM	Quercus	Quercus_3	3.93	4.75	9.8	138	5.91	0.2626	420	80.2325581395349	16.891064871481
ITS2-2019wet-69-N-OM	2019_wet	69-N-OM	69	N	OM	Quercus	Quercus_3	3.94	6.23	14.16	152.99	11.18	0.2432	333	88.9476744186047	14.2773153159879
ITS2-2019wet-70-N-OS	2019_wet	70-N-OS	70	N	OS	Quercus	Quercus_3	3.94	10.94	8.61	344	14.96	10.5444	278	200	18.2815356489945
ITS2-2019wet-63-S-OM	2019_wet	63-S-OM	63	S	OM	Quercus	Quercus_1	3.95	2.82	9.16	92.35	10	0.6329	182	53.6918604651163	19.0396668316015
ITS2-2019wet-68-S-OM	2019_wet	68-S-OM	68	S	OM	Quercus	Quercus_2	3.98	6.16	10.51	165.67	9.68	0.6272	330	96.3197674418605	15.6363258834189
ITS2-2019wet-66-S-OS	2019_wet	66-S-OS	66	S	OS	Quercus	Quercus_2	4.01	13.43	10.99	416	19.87	2.212	409	241.860465116279	18.0089698522918
ITS2-2019wet-69-N-OS	2019_wet	69-N-OS	69	N	OS	Quercus	Quercus_3	4.01	3.94	14.8	309.82	14.44	3.0415	333	180.127906976744	45.7177428874985
ITS2-2019wet-64-S-OM	2019_wet	64-S-OM	64	S	OM	Quercus	Quercus_1	4.04	4.47	7.5	134.14	11.45	0.8612	225	77.9883720930232	17.4470631080589
ITS2-2019wet-70-N-OM	2019_wet	70-N-OM	70	N	OM	Quercus	Quercus_3	4.07	5.68	8.53	171.1	14.94	1.5856	278	99.4767441860465	17.5135113003603
ITS2-2019wet-61-S-OM	2019_wet	61-S-OM	61	S	OM	Quercus	Quercus_1	4.11	4.56	6.9	93.1	0.97	0.3906	155	54.1279069767442	11.8701550387597
ITS2-2019wet-86-S-OM	2019_wet	86-S-OM	86	S	OM	Abies	Abies_1	4.12	7.49	11.07	146.3	3.03	0.4597	120	85.0581395348837	11.3562269071941
ITS2-2019wet-67-N-OM	2019_wet	67-N-OM	67	N	OM	Quercus	Quercus_2	4.13	4.25	8.69	97.95	1.44	0.079	340	56.9476744186047	13.3994528043776
ITS2-2019wet-64-S-OS	2019_wet	64-S-OS	64	S	OS	Quercus	Quercus_1	4.15	18.73	10.67	503.72	13.86	10.0697	225	292.860465116279	15.6359031028446
ITS2-2019wet-74-N-OS	2019_wet	74-N-OS	74	N	OS	Picea	Picea_1	4.16	17.5	13.05	617.66	21.54	3.1017	207	359.104651162791	20.5202657807309
