Name	color	myLevel
Ascomycota	#95cdde	1
Basidiomycota	#de9595	2
Mortierellomycota	#8cd4c5	3
Hypocreales	black	1
Pezizales	yellow	2
Sordariales	#F6E8C3	3
Thelebolales	#D8B365	4
Agaricales	#8c510a	5
Atheliales	#C6DBEF	6
Cantharellales	yellow	7
Russulales	#80cdc1	8
Mortierellales	orange	9
Cluster_30_Ilyonectria_liriodendri	grey	1
Cluster_28_Pyronemataceae_sp	grey	2
Cluster_52_Lasiosphaeriaceae_sp	grey	3
Cluster_65_Pseudogymnoascus_pannorum	grey	4
Cluster_5_Amanita_ceciliae	grey	5
Cluster_35_Amanita_rubrovolvata	grey	6
Cluster_13_Inocybe_sp	grey	7
Cluster_6_Inocybe_sp	grey	8
Cluster_16_Piloderma_lanatum	grey	9
Cluster_12_Piloderma_sp	grey	10
Cluster_9_Piloderma_sp	grey	11
Cluster_17_Tylospora_asterophora	grey	12
Cluster_8_Clavulina_reae	grey	13
Cluster_21_Russula_chiui	grey	14
Cluster_138_Russula_puellaris	grey	15
Cluster_4_Russula_senecis	grey	16
Cluster_1_Russula_sp	grey	17
Cluster_2_Russula_sp	grey	18
Cluster_3_Russula_sp	grey	19
Cluster_41_Mortierella_pseudozygospora	grey	20
