CAZy_family	Type	Substrate
AA1	Auxiliary Activity	Unknown
AA11	FCW	Chitin
AA11-CBM50	FCW	Chitin
AA12	Auxiliary Activity	Unknown
AA14	PCW	Hemicellulose
AA16	PCW	Cellulose
AA2	PCW	Lignin
AA3	Auxiliary Activity	Cellobiose
AA3-CBM13	PCW	Unknown
AA4	Auxiliary Activity	Associated to plant-cell walls
AA5	Auxiliary Activity	Associated to plant-cell walls
AA6	Auxiliary Activity	Associated to plant-cell walls
AA8	Auxiliary Activity	Lignin
AA9	PCW	Cellulose
AA9-CBM1	PCW	Cellulose
CBM1	PCW	Cellulose
CBM1-CBM1	PCW	Cellulose
CBM1-CE16	PCW	Unknown
CBM1-GH10	PCW	Unknown
CBM1-GH28	PCW	Unknown
CBM1-PL3	PCW	Unknown
CBM13	PCW	Hemicellulose
CBM13-CBM13	PCW	Hemicellulose
CBM13-CBM13-CBM13	PCW	Hemicellulose
CBM18	FCW	Chitin
CBM18-CBM18	FCW	Chitin
CBM18-CBM18-CBM18	FCW	Chitin
CBM18-CBM18-CE4	FCW	Chitin
CBM18-CE4	FCW	Chitin
CBM18-CE4-CBM18-CBM18	FCW	Chitin
CBM18-GH16_19	FCW	Unknown
CBM20	Storage	Starch
CBM20-CBM20	Storage	Starch
CBM35	PCW	Hemicellulose/Pectin
CBM48-GH13_11	Storage	Starch/Glycogen
CBM5	FCW	Chitin
CBM5-CBM5	FCW	Chitin
CBM50	FCW	Chitin
CBM50-CBM50	FCW	Chitin
CBM50-CBM50-CBM50	FCW	Chitin
CBM50-CBM50-CBM50-CBM50	FCW	Chitin
CBM50-CBM50-CBM50-CBM50-CBM50	FCW	Chitin
CBM50-CBM50-CBM50-CBM50-CBM50-CBM50	FCW	Chitin
CBM50-CE4	FCW	Chitin
CBM63	PCW	Cellulose
CBM67	PCW	Pectin
CBM67-CBM67	PCW	Pectin
CE12	PCW	Pectin
CE15	PCW	Hemicellulose
CE16	PCW	Hemicellulose
CE2	PCW	Hemicellulose
CE4	FCW	Chitin
CE4-CBM18-CBM18	FCW	Chitin
CE5	PCW	Cutin/Hemicellulose
CE8	PCW	Pectin
GH1	PCW	Cellulose
GH10	PCW	Hemicellulose
GH105	PCW	Pectin
GH106	PCW	Pectin
GH11	PCW	Hemicellulose
GH12	PCW	Cellulose
GH12-CBM1	PCW	Cellulose
GH120	PCW	Hemicellulose
GH125	FCW	Mannan
GH128	FCW	Glucan
GH13	Storage	Starch/Glycogen
GH13_1	Storage	Starch/Glycogen
GH13_10	Storage	Starch/Glycogen
GH13_11	Storage	Starch/Glycogen
GH13_15	Storage	Starch/Glycogen
GH13_20	Storage	Starch/Glycogen
GH13_23	Storage	Starch/Glycogen
GH13_24-CBM20	Storage	Starch/Glycogen
GH13_26	Storage	Starch/Glycogen
GH13_3	Storage	Starch/Glycogen
GH13_30	Storage	Starch/Glycogen
GH13_31	Storage	Starch/Glycogen
GH13_32	Storage	Starch/Glycogen
GH13_32-CBM20	Storage	Starch/Glycogen
GH13_4	Storage	Starch/Glycogen
GH13_40	Storage	Starch/Glycogen
GH13_5	Storage	Starch/Glycogen
GH13_8	Storage	Starch/Glycogen
GH131	PCW	Cellulose
GH131-CBM1	PCW	Cellulose
GH132	FCW	Glucan
GH134	PCW	Hemicellulose
GH135	FCW	Galactosaminogalactan
GH139	PCW	Pectin
GH15	Storage	Starch/Glycogen
GH15-CBM20	Storage	Starch/Glycogen
GH152	FCW	Glucan
GH16	FCW	Glucan
GH16_1	FCW	Glucan
GH16_1-GH16_1	FCW	Glucan
GH16_10	FCW	Glucan
GH16_18	FCW	Glucan
GH16_19	FCW	Glucan
GH16_2	FCW	Glucan
GH16_20	FCW	Glucan
GH16_21	FCW	Glucan
GH16_22	FCW	Glucan
GH16_23	FCW	Glucan
GH16_27	FCW	Glucan
GH16_3	FCW	Glucan
GH16_4	FCW	Glucan
GH162	FCW	Glucan
GH17	FCW	Glucan
GH18	FCW	Chitin
GH18-CBM5	FCW	Chitin
GH18-CBM5-CBM5	FCW	Chitin
GH18-CBM50	FCW	Chitin
GH18-CBM50-CBM50	FCW	Chitin
GH19	FCW	Chitin
GH2	PCW	Hemicellulose
GH20	FCW	Chitin
GH23	BCW	Peptidoglycan
GH24	BCW	Peptidoglycan
GH25	BCW	Peptidoglycan
GH26	BCW/PCW	Peptidoglycan/Mannan
GH27	PCW/FCW	Galactan
GH28	PCW	Pectin
GH29	PCW	Hemicellulose
GH3	PCW	Cellulose/Xylan
GH30	PCW	Hemicellulose
GH30_1	PCW	Hemicellulose
GH30_10	PCW	Hemicellulose
GH30_3	PCW	Hemicellulose
GH30_5	PCW	Hemicellulose
GH30_7	PCW	Hemicellulose
GH31	Storage	Starch/Glycogen
GH35	PCW	Pectin
GH36	PCW	Hemicellulose
GH37	Storage	Trehalose
GH39	PCW	Hemicellulose/Pectin
GH43_13	PCW	Hemicellulose
GH43_14	PCW	Hemicellulose
GH43_24	PCW	Hemicellulose
GH43_24-CBM35	PCW	Hemicellulose
GH43_25-CBM35	PCW	Hemicellulose
GH43_26	PCW	Hemicellulose
GH43_30	PCW	Hemicellulose
GH43_34	PCW	Hemicellulose
GH43_5	PCW	Hemicellulose
GH43_6	PCW	Hemicellulose
GH44	PCW	Cellulose
GH45	PCW	Cellulose
GH45-CBM1	PCW	Cellulose
GH46	FCW	Chitin
GH47	FCW	Mannan
GH48	PCW/FCW	Cellulose/Chitin
GH5	PCW/FCW	Cellulose/Glucans
GH5_1	PCW/FCW	Cellulose/Glucans
GH5_11	PCW/FCW	Cellulose/Glucans
GH5_12	PCW/FCW	Cellulose/Glucans
GH5_15	PCW/FCW	Cellulose/Glucans
GH5_22	PCW/FCW	Cellulose/Glucans
GH5_24	PCW/FCW	Cellulose/Glucans
GH5_27	PCW/FCW	Cellulose/Glucans
GH5_30	PCW/FCW	Cellulose/Glucans
GH5_31	PCW/FCW	Cellulose/Glucans
GH5_45	PCW/FCW	Cellulose/Glucans
GH5_45-CBM43	PCW/FCW	Cellulose/Glucans
GH5_46	PCW/FCW	Cellulose/Glucans
GH5_5	PCW/FCW	Cellulose/Glucans
GH5_5-CBM1	PCW/FCW	Cellulose/Glucans
GH5_5-CBM8	PCW/FCW	Cellulose/Glucans
GH5_50	PCW/FCW	Cellulose/Glucans
GH5_51	PCW/FCW	Cellulose/Glucans
GH5_7	PCW/FCW	Cellulose/Glucans
GH5_8	PCW/FCW	Cellulose/Glucans
GH5_9	PCW/FCW	Cellulose/Glucans
GH5_9-CBM43	PCW/FCW	Cellulose/Glucans
GH51	PCW	Hemicellulose/Pectin
GH53	PCW	Pectin
GH54	PCW	Hemicellulose
GH54-CBM42	PCW	Hemicellulose
GH55	FCW	Glucan
GH6	PCW	Cellulose
GH62	PCW	Hemicellulose
GH63	Storage	Starch/Glycogen
GH64	FCW	Glucan
GH65-CBM32	Storage	Trehalose
GH67	PCW	Hemicellulose
GH67-CBM35	PCW	Hemicellulose
GH7	PCW	Cellulose
GH7-CBM1	PCW	Cellulose
GH7-CBM2	PCW	Cellulose
GH71	FCW	Glucan
GH72	FCW	Glucan
GH72-CBM43	FCW	Glucan
GH74	PCW	Hemicellulose
GH75	FCW	Chitin
GH76	FCW	Mannan
GH78	PCW	Pectin
GH79	BCW	Glucoronans
GH8	PCW	Hemicellulose
GH81	FCW	Glucan
GH88	PCW	Pectin
GH89	FCW	Chitin
GH9	PCW	Cellulose
GH9-CBM3	PCW	Cellulose
GH92	FCW	Mannan
GH93	PCW	Hemicellulose
GH94	PCW/FCW	Cellulose/Chitin
GH95	PCW	Hemicellulose
GT2	FCW	Chitin
GT35	Storage	Starch/Glycogen
GT48	FCW	Glucan
PL1	PCW	Pectin
PL14	PCW	Pectin
PL3	PCW	Pectin
PL42	MCW	Rhamnose
PL8	PCW	Pectin
