samples	samplenames	tree_number	layer	cluster_number	tree_species
OS.61	OS-61	61	OS	Quercus_1	Quercus
OS.62	OS-62	62	OS	Quercus_1	Quercus
OS.63	OS-63	63	OS	Quercus_1	Quercus
OS.64	OS-64	64	OS	Quercus_1	Quercus
OS.65	OS-65	65	OS	Quercus_2	Quercus
OS.66	OS-66	66	OS	Quercus_2	Quercus
OS.67	OS-67	67	OS	Quercus_2	Quercus
OS.68	OS-68	68	OS	Quercus_2	Quercus
OS.69	OS-69	69	OS	Quercus_3	Quercus
OS.70	OS-70	70	OS	Quercus_3	Quercus
OS.71	OS-71	71	OS	Quercus_3	Quercus
OS.72	OS-72	72	OS	Quercus_3	Quercus
OS.73	OS-73	73	OS	Picea_1	Picea
OS.74	OS-74	74	OS	Picea_1	Picea
OS.75	OS-75	75	OS	Picea_1	Picea
OS.76	OS-76	76	OS	Picea_1	Picea
OS.77	OS-77	77	OS	Picea_2	Picea
OS.78	OS-78	78	OS	Picea_2	Picea
OS.79	OS-79	79	OS	Picea_2	Picea
OS.80	OS-80	80	OS	Picea_2	Picea
OS.81	OS-81	81	OS	Picea_3	Picea
OS.82	OS-82	82	OS	Picea_3	Picea
OS.83	OS-83	83	OS	Picea_3	Picea
OS.84	OS-84	84	OS	Picea_3	Picea
OS.85	OS-85	85	OS	Abies_1	Abies
OS.86	OS-86	86	OS	Abies_1	Abies
OS.87	OS-87	87	OS	Abies_1	Abies
OS.88	OS-88	88	OS	Abies_1	Abies
OS.89	OS-89	89	OS	Abies_2	Abies
OS.90	OS-90	90	OS	Abies_2	Abies
OS.91	OS-91	91	OS	Abies_2	Abies
OS.92	OS-92	92	OS	Abies_2	Abies
OS.93	OS-93	93	OS	Abies_3	Abies
OS.94	OS-94	94	OS	Abies_3	Abies
OS.95	OS-95	95	OS	Abies_3	Abies
OS.96	OS-96	96	OS	Abies_3	Abies
OM.61	OM-61	61	OM	Quercus_1	Quercus
OM.62	OM-62	62	OM	Quercus_1	Quercus
OM.63	OM-63	63	OM	Quercus_1	Quercus
OM.64	OM-64	64	OM	Quercus_1	Quercus
OM.65	OM-65	65	OM	Quercus_2	Quercus
OM.66	OM-66	66	OM	Quercus_2	Quercus
OM.67	OM-67	67	OM	Quercus_2	Quercus
OM.68	OM-68	68	OM	Quercus_2	Quercus
OM.69	OM-69	69	OM	Quercus_3	Quercus
OM.70	OM-70	70	OM	Quercus_3	Quercus
OM.71	OM-71	71	OM	Quercus_3	Quercus
OM.72	OM-72	72	OM	Quercus_3	Quercus
OM.73	OM-73	73	OM	Picea_1	Picea
OM.74	OM-74	74	OM	Picea_1	Picea
OM.75	OM-75	75	OM	Picea_1	Picea
OM.76	OM-76	76	OM	Picea_1	Picea
OM.77	OM-77	77	OM	Picea_2	Picea
OM.78	OM-78	78	OM	Picea_2	Picea
OM.79	OM-79	79	OM	Picea_2	Picea
OM.80	OM-80	80	OM	Picea_2	Picea
OM.81	OM-81	81	OM	Picea_3	Picea
OM.82	OM-82	82	OM	Picea_3	Picea
OM.83	OM-83	83	OM	Picea_3	Picea
OM.84	OM-84	84	OM	Picea_3	Picea
OM.85	OM-85	85	OM	Abies_1	Abies
OM.86	OM-86	86	OM	Abies_1	Abies
OM.87	OM-87	87	OM	Abies_1	Abies
OM.88	OM-88	88	OM	Abies_1	Abies
OM.89	OM-89	89	OM	Abies_2	Abies
OM.90	OM-90	90	OM	Abies_2	Abies
OM.91	OM-91	91	OM	Abies_2	Abies
OM.92	OM-92	92	OM	Abies_2	Abies
OM.93	OM-93	93	OM	Abies_3	Abies
OM.94	OM-94	94	OM	Abies_3	Abies
OM.95	OM-95	95	OM	Abies_3	Abies
OM.96	OM-96	96	OM	Abies_3	Abies
