Name	color	Group	myLevel	Reign
Agaricomycetes	#de9595	Class	1	Fungi
Archaeorhizomycetes	forestgreen	Class	1	Fungi
Chytridiomycetes	orange	Class	1	Fungi
Dothideomycetes	#F6E8C3	Class	1	Fungi
Eurotiomycetes	#95cdde	Class	1	Fungi
Geminibasidiomycetes	darkred	Class	1	Fungi
Glomeromycetes	forestgreen	Class	1	Fungi
Leotiomycetes	#66ba94	Class	1	Fungi
Microbotryomycetes	red	Class	1	Fungi
Mortierellomycetes	#784300	Class	1	Fungi
Pezizomycetes	darkblue	Class	1	Fungi
Pucciniomycetes	lightgreen	Class	1	Fungi
Saccharomycetes	#4292C6	Class	1	Fungi
Sordariomycetes	beige	Class	1	Fungi
Tremellomycetes	black	Class	1	Fungi
Amanitaceae	#8c510a	Family	1	Fungi
Aspergillaceae	blue	Family	1	Fungi
Atheliaceae	#C6DBEF	Family	1	Fungi
Boletaceae	forestgreen	Family	1	Fungi
Cantharellales_fam_Incertae_sedis	orange	Family	1	Fungi
Chrysozymaceae	pink	Family	1	Fungi
Clavariaceae	purple	Family	1	Fungi
Clavulinaceae	darkred	Family	1	Fungi
Cortinariaceae	beige	Family	1	Fungi
Dermateaceae	steelblue	Family	1	Fungi
Elaphomycetaceae	#ad6d5e	Family	1	Fungi
Filobasidiaceae	orange	Family	1	Fungi
Geastraceae	darkred	Family	1	Fungi
Gomphaceae	pink	Family	1	Fungi
Hebelomataceae	#5eadac	Family	1	Fungi
Helotiales_fam_Incertae_sedis	purple	Family	1	Fungi
Herpotrichiellaceae	black	Family	1	Fungi
Hygrophoraceae	#084594	Family	1	Fungi
Hymenogastraceae	#40d6d4	Family	1	Fungi
Inocybaceae	#eb5834	Family	1	Fungi
Lasiosphaeriaceae	lightblue	Family	1	Fungi
Leotiaceae	black	Family	1	Fungi
Marasmiaceae	lightgreen	Family	1	Fungi
Mortierellaceae	#784300	Family	1	Fungi
Nectriaceae	orange	Family	1	Fungi
Piskurozymaceae	darkred	Family	1	Fungi
Pseudeurotiaceae	lightgreen	Family	1	Fungi
Pyronemataceae	brown	Family	1	Fungi
Russulaceae	#80cdc1	Family	1	Fungi
Sebacinaceae	#5b8f69	Family	1	Fungi
Thelephoraceae	red	Family	1	Fungi
Tricholomataceae	#c4b26a	Family	1	Fungi
unidentified	white	NA	-1	Fungi
unassigned	grey80	NA	-1	Fungi
Multi-affiliation	white	NA	-1	NA
Others	#383e42	NA	0	NA
others	#383e42	NA	0	NA
Agaricales	#8c510a	Order	1	Fungi
Archaeorhizomycetales	#bf812e	Order	1	Fungi
Atheliales	#C6DBEF	Order	1	Fungi
Auriculariales	#084594	Order	1	Fungi
Boletales	#5b8f69	Order	1	Fungi
Cantharellales	#ffc936	Order	1	Fungi
